"","bin","t168_18O_100","t168_18O_50","t24_18O_100","t48_18O_100","t48_18O_50","t72_18O_100","classification"
"98","H2-16-all-fractions_metab_conc_97.Actinobacteria_72_48",0,0,0,0,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__AC-37;s__"
"99","H2-18-all-fractions_metab_36.Geodermatophilales_73_36",0.122269097322065,0.119442060331742,0.0863246860234384,0.146204669875446,0.123448348221539,0.0890748764957993,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Geodermatophilaceae;g__Blastococcus;s__"
"100","H2-18-all-fractions_metab_91.Actinobacteria_71_22",0,0,0,0.0986968091641405,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739;s__"
"101","H3-16-all-fractions_metab_76.Alphaproteobacteria_69_0",0,0,0,0.0350352644931393,0,0,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Geminicoccales;f__Geminicoccaceae;g__;s__"
"102","H3-16-all-fractions_metab_conc_118.Mycobacterium_smegmatis_66_0",0.0352392234423731,0.127921910358949,0,0.041577291002413,0,0,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__"
"103","H3-16-all-fractions_metab_conc_126.Actinobacteria_70_0",0,0,0,0,0,0,"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-555;g__;s__"
"104","H3-16-all-fractions_metab_conc_13.Lysobacter_68_0",0.577757924082935,0.459944338624389,0,0,0.343685142865341,0.544839619647353,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas_B;s__"
"105","H3-16-all-fractions_metab_conc_83.Actinobacteria_70_0",0.0771065679688232,0.0880356328033266,0,0.0431921930996359,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__;s__"
"106","H3-16-all-fractions_metab_conc_98.Alphaproteobacteria_63_0",0,0,0,0,0,0,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__AP-15;s__"
"107","H3-18-all-fractions_metab_conc_100.Actinobacteria_71_31",0,0,0,0,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__;s__"
"108","H3-18-all-fractions_metab_conc_4.Bradyrhizobium_62_18",0,0,0,0.139779792807105,0,0,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__"
"109","H3-18-all-fractions_metab_conc_75.Burkholderiales_69_10",0.422644608957131,0.546107650863127,0.221450721715184,0.436002117625898,0.417985114461422,0.408599907915918,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ramlibacter;s__"
